pass	goal	status	seconds	note
1	258	FAIL_EMIT	1	
1	260	FAIL_EMIT	1	
1	262	FAIL_EMIT	1	
1	264	FAIL_EMIT	2	
1	266	FAIL_EMIT	1	
1	268	FAIL_EMIT	1	
1	270	FAIL_EMIT	2	
1	272	FAIL_EMIT	1	
1	274	FAIL_EMIT	1	
1	276	FAIL_EMIT	2	
1	278	FAIL_EMIT	1	
1	280	FAIL_EMIT	1	
1	282	FAIL_EMIT	1	
1	284	FAIL_EMIT	2	
1	286	FAIL_EMIT	1	
1	288	FAIL_EMIT	1	
1	290	FAIL_EMIT	2	
1	292	FAIL_EMIT	1	
1	294	FAIL_EMIT	1	
1	296	FAIL_EMIT	2	
1	298	FAIL_EMIT	1	
1	300	FAIL_EMIT	1	
1	302	FAIL_EMIT	1	
1	304	FAIL_EMIT	2	
1	305	PASS	135	
1	306	FAIL_EMIT	1	
1	307	PASS	143	
1	308	FAIL_EMIT	1	
1	309	FAIL_EMIT	1	
1	310	FAIL_EMIT	2	
1	311	FAIL_EMIT	1	
1	312	FAIL_EMIT	1	
2	81	FAIL_OLEAN	66	denote/gpt_ly4_regen/Goal81Bridge.lean:535:16: error(lean.unknownIdentifier): Unknown identifier `goal_303_intermediate`
2	82	PASS	133	
